id,slug,title,country,ancestry,lat,lon,source,confidence,wikidata_id,notes
294,caesarea-aqueduct-low-level,"Caesarea Aqueduct, Low Level",Israel,Sharon Plain (12 folders) / Central / Israel / Browse by Countries,32.5,34.9,wikidata,medium,Q1615560,matched 'Caesarea' (modern day town in Israel) — place class; country match
295,caesarea-crusader-city,Caesarea Crusader City,Israel,Sharon Plain (12 folders) / Central / Israel / Browse by Countries,32.5,34.9,wikidata,medium,Q1615560,matched 'Caesarea' (modern day town in Israel) — place class; country match
296,caesarea-museum-artifacts,Caesarea Museum Artifacts,Israel,Sharon Plain (12 folders) / Central / Israel / Browse by Countries,32.5,34.9,wikidata,medium,Q1615560,matched 'Caesarea' (modern day town in Israel) — place class; country match
299,middle-bronze-i-settlements,Middle Bronze I Settlements,Israel,Negev Highlands / South / Israel / Browse by Countries,,,,none,,no match
302,caesarea-temple-of-augustus-and-roma,Caesarea Temple of Augustus and Roma,Israel,Sharon Plain (12 folders) / Central / Israel / Browse by Countries,32.5,34.9,wikidata,medium,Q1615560,matched 'Caesarea' (modern day town in Israel) — place class; country match
304,masada-western-palace,Masada Western Palace,Israel,Dead Sea / Central / Israel / Browse by Countries,31.315555555556,35.353888888889,wikidata,high,Q186312,matched 'Masada' (archaeological site in southeastern Israel) — archaeological/historic class; country match
305,masada-northern-palace,Masada Northern Palace,Israel,Dead Sea / Central / Israel / Browse by Countries,31.315555555556,35.353888888889,wikidata,high,Q186312,matched 'Masada' (archaeological site in southeastern Israel) — archaeological/historic class; country match
306,masada-structures-on-plateau,Masada Structures on Plateau,Israel,Dead Sea / Central / Israel / Browse by Countries,31.315555555556,35.353888888889,wikidata,high,Q186312,matched 'Masada' (archaeological site in southeastern Israel) — archaeological/historic class; country match
307,masada-roman-ramp-and-camps,Masada Roman Ramp and Camps,Israel,Dead Sea / Central / Israel / Browse by Countries,31.315555555556,35.353888888889,wikidata,high,Q186312,matched 'Masada' (archaeological site in southeastern Israel) — archaeological/historic class; country match
308,bethany-beyond-the-jordan,Bethany Beyond the Jordan,Jordan,Central / Jordan / Browse by Countries,31.836944444444,35.547222222222,wikidata,high,Q2617848,matched 'Bethabara' () — archaeological/historic class; country match
309,mount-of-beatitudes,Mount of Beatitudes,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,32.88078333,35.55581944,wikidata,low,Q543683,"matched 'Mount of Beatitudes' (mountain in Israel, near Lake Galilee) — country match"
311,korazinchorazin-village,Korazin/Chorazin Village,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,31.782416666667,35.209611111111,wikidata,low,Q30526902,"matched 'Korazin Synagogue' (a synagogue on Korazin Street, Jerusalem) — country match"
312,korazinchorazin-synagogue,Korazin/Chorazin Synagogue,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,31.782416666667,35.209611111111,wikidata,low,Q30526902,"matched 'Korazin Synagogue' (a synagogue on Korazin Street, Jerusalem) — country match"
314,golden-gate-east,Golden Gate & East,Israel,Temple Mount Platform/Haram - 6 folders / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7789574,35.2370903,nominatim,low,,"matched 'שער הרחמים, העופל, מעלה הזיתים, סילוואן, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9114101, ישראל'"
315,el-aqsa-south,El Aqsa & South,Israel,Temple Mount Platform/Haram - 6 folders / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
316,west,West,Israel,Temple Mount Platform/Haram - 6 folders / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.7878529,34.9656527,nominatim,low,,"matched 'מגדל חברת החשמל, 1, נתיב האור, נאות פרס, רובע מערב חיפה, חיפה, נפת חיפה, מחוז חיפה, 3508508, ישראל'"
317,antonia-north,Antonia & North,Israel,Temple Mount Platform/Haram - 6 folders / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
318,dome-of-the-rock-central,Dome of the Rock & Central,Israel,Temple Mount Platform/Haram - 6 folders / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7780172,35.2352962,nominatim,low,,"matched 'כיפת הסלע, הר הבית, הרובע המוסלמי, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9114101, ישראל'"
319,views-haram,Views & Haram,Israel,Temple Mount Platform/Haram - 6 folders / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
320,upper-room-mt-zion,Upper Room Mt. Zion,Israel,Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.6297875,35.323335,nominatim,low,,"matched 'קרן קיימת לישראל, עפולה עילית, עפולה, נפת יזרעאל, מחוז הצפון, 1834328, ישראל'"
322,exterior-of-church-of-the-holy-sepulcher-5-images,Exterior of Church of the Holy Sepulcher 5 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
323,calvary-15-images,Calvary 15 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.778611111111,35.229444444444,wikidata,low,Q170516,matched 'Calvary' (site outside Jerusalem where Jesus was crucified according to the Gospels) — country match
324,tomb-of-jesus-11-images,Tomb of Jesus 11 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7804333,35.2396471,nominatim,low,,"matched 'قبر السيدة العذراء مريم, יריחו, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9119001, ישראל'"
325,syrian-chapel-3,Syrian Chapel 3,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,33.0039596,35.7340814,nominatim,low,,"matched 'Syrian-claimed Golan Heights, מחוז הצפון, ישראל'"
326,interesting-places-8-images,Interesting Places (8 images),Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
327,et-tellgeshurbethsaida,et-Tell/Geshur/Bethsaida,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,32.90995,35.63053611,wikidata,high,Q501773,matched 'Bethsaida' (archaeological site) — archaeological/historic class; country match
328,haluqim,Haluqim,Israel,Negev Highlands / South / Israel / Browse by Countries,30.9136125,34.8303316,nominatim,low,,"matched 'הר חלוקים, מועצה אזורית רמת נגב, נפת באר שבע, מחוז הדרום, 8499300, ישראל'"
330,philippi-south,Philippi South,Greece,Greece North / Greece / Browse by Countries,41.0132841,24.2839744,nominatim,low,,"matched 'Φίλιπποι, ΕΟ12, Κρηνίδες, Δήμος Καβάλας, Περιφερειακή Ενότητα Καβάλας, Περιφέρεια Ανατολικής Μακεδονίας και Θράκης, Αποκ'"
331,philippi-north,Philippi North,Greece,Greece North / Greece / Browse by Countries,41.0132841,24.2839744,nominatim,low,,"matched 'Φίλιπποι, ΕΟ12, Κρηνίδες, Δήμος Καβάλας, Περιφερειακή Ενότητα Καβάλας, Περιφέρεια Ανατολικής Μακεδονίας και Θράκης, Αποκ'"
332,philippi-baptismal-site,Philippi Baptismal Site,Greece,Greece North / Greece / Browse by Countries,41.0132841,24.2839744,nominatim,low,,"matched 'Φίλιπποι, ΕΟ12, Κρηνίδες, Δήμος Καβάλας, Περιφερειακή Ενότητα Καβάλας, Περιφέρεια Ανατολικής Μακεδονίας και Θράκης, Αποκ'"
334,yad-vashem,Yad Vashem,Israel,Israel Museum and Yad VaShem (5 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7744237,35.1772481,wikidata,medium,Q156591,matched 'Yad Vashem' (Israel's official memorial to the Jewish victims of the Holocaust) — place class; country match
335,tabgha,Tabgha,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,32.873658333333,35.548975,wikidata,medium,Q1026813,matched 'Tabgha' (hamlet on the shore of Sea of Galilee) — place class; country match
336,sarcophagi-archaeology-museum-istanbul,Sarcophagi Archaeology Museum Istanbul,Turkey,Istanbul and Marmara Region / Western Turkey / Turkey / Browse by Countries,36.6204129,29.1175167,nominatim,low,,"matched 'Lycian Sarcophagi, 71. Sokak, Kesikkapı Mahallesi, Fethiye, Muğla, Ege Bölgesi, 48300, Türkiye'"
337,inscriptions-archaeology-museum-istanbul,Inscriptions Archaeology Museum Istanbul,Turkey,Istanbul and Marmara Region / Western Turkey / Turkey / Browse by Countries,,,,none,,no match
338,statues-of-people-archaeology-museum-istanbul,Statues of People Archaeology Museum Istanbul,Turkey,Istanbul and Marmara Region / Western Turkey / Turkey / Browse by Countries,,,,none,,no match
339,church-of-primacy-of-peter,Church of Primacy of Peter,Israel,Sea of Galilee 19 folders / North / Israel / Browse by Countries,32.7456141,35.3381848,nominatim,low,,"matched 'كنيسه, 754, כפר כנא, נפת יזרעאל, מחוז הצפון, 1789089, ישראל'"
341,sepphoris-roman-villa-mosaics,Sepphoris Roman Villa Mosaics,Israel,Lower Galilee / North / Israel / Browse by Countries,32.753055555556,35.279166666667,wikidata,high,Q1132798,matched 'Sepphoris' (ancient city in Israel) — archaeological/historic class; country match
342,sepphoris-citadel,Sepphoris Citadel,Israel,Lower Galilee / North / Israel / Browse by Countries,32.753055555556,35.279166666667,wikidata,high,Q1132798,matched 'Sepphoris' (ancient city in Israel) — archaeological/historic class; country match
345,antioch-on-the-orontes,Antioch On the Orontes,Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,36.20472222222222,36.181666666666665,wikidata,high,Q200441,matched 'Antioch' (ancient Greek city in southern Turkey) — archaeological/historic class; country match
346,seleucia-pieria,Seleucia Pieria,Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,36.873725,31.47555278,wikidata,high,Q362627,matched 'Seleucia' (ancient city of Pamphylia in modern-day Turkey) — archaeological/historic class; country match
347,attaliaantalya,Attalia/Antalya,Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,36.90812,30.69556,wikidata,medium,Q6487,matched 'Antalya' (city in Turkey) — place class; country match
351,the-citadel,The Citadel,Israel,Citadel at Jaffa Gate (folder) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.1091657,34.8111176,nominatim,low,,"matched 'Israel, 51, 2410, תל־אביב–יפו, מרכז הירידים, תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, 6997801, ישראל'"
352,citadel-museum,Citadel Museum,Israel,Citadel at Jaffa Gate (folder) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,33.0165041,35.5660485,nominatim,low,,"matched 'מצודה ישראלית, 9118, ראש פינה, נפת צפת, מחוז הצפון, ישראל'"
355,bouleuterionforum,Bouleuterion/Forum,Israel,Ashqelon / Philistine Plain / Central / Israel / Browse by Countries,32.778443,35.6596269,nominatim,low,,"matched 'Forum, מועצה אזורית עמק הירדן, נפת כנרת, מחוז הצפון, ישראל'"
356,views-of-site,Views of Site,Israel,Ashqelon / Philistine Plain / Central / Israel / Browse by Countries,,,,none,,no match
357,st-marys-church,St. Mary's Church,Israel,Ashqelon / Philistine Plain / Central / Israel / Browse by Countries,31.7753806,35.2323212,nominatim,low,,"matched 'בית הכנסת תפארת ישראל, הקראים, הרובע היהודי, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9114001, ישראל'"
358,gate-glacis,Gate & Glacis,Israel,Ashqelon / Philistine Plain / Central / Israel / Browse by Countries,32.660705,35.558493,nominatim,low,,"matched 'שער, עמק הירדן, מנחמיה, מועצה אזורית עמק המעיינות, נפת יזרעאל, מחוז הצפון, 1515700, ישראל'"
360,pool-of-siloam-and-valley-street,Pool of Siloam and Valley Street,Israel,Water Systems (7 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.961041,35.487595,nominatim,low,,"matched 'בריכה, 89, גני הדר, צפת, נפת צפת, מחוז הצפון, 1311502, ישראל'"
361,gihon-spring,Gihon Spring,Israel,Water Systems (7 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.773235,35.2368303,nominatim,low,,"matched 'בית המעיין (מעיין הגיחון), פיר וורן, עיר דוד, סילוואן, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9114001, ישראל'"
362,middle-bronze-age-channel,Middle Bronze Age Channel,Israel,Water Systems (7 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
363,hezekiahs-tunnel-363,Hezekiah's Tunnel,Israel,Water Systems (7 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.772358,35.235673,wikidata,high,Q1620682,matched 'Hezekiah's Tunnel' (Ancient underground water tunnel in Jerusalem) — archaeological/historic class; country match
364,diagonal-tunnel,Diagonal Tunnel,Israel,Water Systems (7 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
365,gihon-pool-system,Gihon Pool System,Israel,Water Systems (7 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.773235,35.2368303,nominatim,low,,"matched 'בית המעיין (מעיין הגיחון), פיר וורן, עיר דוד, סילוואן, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9114001, ישראל'"
366,warrens-shaft-366,Warren's Shaft,Israel,Water Systems (7 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7731,35.2361,wikidata,high,Q3655064,matched 'Warren's Shaft' (archaeological site in Israel) — archaeological/historic class; country match
368,patmos-acropolis-kastelli,Patmos Acropolis (Kastelli),Greece,Dodecanese Islands / Greek Islands / Greece / Browse by Countries,35.20888889,25.33777778,wikidata,medium,Q845105,"matched 'Kastelli' (town in Minoa Pediada municipality, Heraklion, Crete) — place class; country match"
369,patmos-views-of-island,Patmos: Views of Island,Greece,Dodecanese Islands / Greek Islands / Greece / Browse by Countries,37.309166666667,26.546666666667,wikidata,medium,Q12882473,"matched 'Chora' (village and capital of Patmos, Greece) — place class; country match"
370,patmos-harborskala,Patmos: Harbor/Skala,Greece,Dodecanese Islands / Greek Islands / Greece / Browse by Countries,37.309166666667,26.546666666667,wikidata,medium,Q12882473,"matched 'Chora' (village and capital of Patmos, Greece) — place class; country match"
372,patmos-monastery-of-saint-john,Patmos: Monastery of Saint John,Greece,Dodecanese Islands / Greek Islands / Greece / Browse by Countries,37.309166666667,26.546666666667,wikidata,medium,Q12882473,"matched 'Chora' (village and capital of Patmos, Greece) — place class; country match"
374,rockefeller-museum,Rockefeller Museum,Israel,East Jerusalem / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.784444444444,35.235833333333,wikidata,medium,Q1430185,matched 'Rockefeller Museum' (archaeological museum in East Jerusalem housing antiquities) — place class; country match
375,israel-museum,Israel Museum,Israel,Israel Museum and Yad VaShem (5 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.770249735842096,35.225798903046545,wikidata,low,Q97219013,"matched 'Israel Film Archive - Jerusalem Cinematheque' (Public archive operating as part of the Jerusalem Cinematheque, it preserves the audiovisual heritage of the Land of Israel. It houses approximately 12,000 original copies of documentary material and approximately 32,000 reels of screening copies) — country match"
376,patmos-monastery-church,Patmos Monastery Church,Greece,Dodecanese Islands / Greek Islands / Greece / Browse by Countries,37.309166666667,26.546666666667,wikidata,medium,Q12882473,"matched 'Chora' (village and capital of Patmos, Greece) — place class; country match"
377,tarsus-roman-temple,Tarsus (Roman Temple),Turkey,Mediterranean Coast / Central Turkey / Turkey / Browse by Countries,36.916666666667,34.9,wikidata,medium,Q134287,"matched 'Tarsus' (district and town in Mersin, Turkey) — place class; country match"
379,broad-avigads-wall,Broad (Avigad's) Wall,Israel,Old City Antiquities (3 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
380,ethiopians-6-images,Ethiopians 6 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
381,greek-catholicon-8-images,Greek Catholicon 8 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7778647,35.2279912,nominatim,low,,"matched 'הפטריארכיה היוונית-אורתודוקסית, הפטריארכיה היוונית, הרובע הנוצרי, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלי'"
382,chapel-of-true-cross-5-images,Chapel of True Cross 5 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.82452,35.650945,nominatim,low,,"matched 'קפלה, 92, מועצה אזורית גולן, נפת רמת הגולן, מחוז הצפון, ישראל'"
383,chapel-of-saint-helena-7-images,Chapel of Saint Helena 7 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.82452,35.650945,nominatim,low,,"matched 'קפלה, 92, מועצה אזורית גולן, נפת רמת הגולן, מחוז הצפון, ישראל'"
384,armenians-5-images,Armenians 5 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,,,,none,,no match
385,chapel-of-adam-2-images,Chapel of Adam 2 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.82452,35.650945,nominatim,low,,"matched 'קפלה, 92, מועצה אזורית גולן, נפת רמת הגולן, מחוז הצפון, ישראל'"
386,coptic-chapels-4-images,Coptic Chapels 4 images,Israel,Church of Holy Sepulcher (12 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.0486666,34.7535081,nominatim,low,,"matched 'מנזר אנטוניוס הקדוש (קופטי), יצחק אבינרי, תל־אביב–יפו, יפו, תל־אביב–יפו, נפת תל אביב, מחוז תל אביב, 6803608, ישראל'"
388,herodian-temple,Herodian Temple,Israel,Model of NT Jerusalem (3 folders) / Israel Museum and Yad VaShem (5 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7759183,35.2345152,nominatim,low,,"matched 'הרודיוני, הרובע היהודי, העיר העתיקה, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9114101, ישראל'"
389,western-hill,Western Hill,Israel,Model of NT Jerusalem (3 folders) / Israel Museum and Yad VaShem (5 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,32.908004,35.2882554,nominatim,low,,"matched 'שדרות נשיאי ישראל, כרמיאל, הדרומית, רמת רבין, כרמיאל, נפת עכו, מחוז הצפון, 2195106, ישראל'"
390,eastern-hill,Eastern Hill,Israel,Model of NT Jerusalem (3 folders) / Israel Museum and Yad VaShem (5 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7867522,35.2446988,nominatim,low,,"matched 'אוניברסיטת בריגהם יאנג, שמואל בן-עדיה, א-טור, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9119001, ישראל'"
393,temple-of-augustus,Temple of Augustus,Turkey,Ankara (4 Folders) / North Central Turkey / Central Turkey / Turkey / Browse by Countries,39.944336111111,32.858266666667,wikidata,high,Q1640233,matched 'Temple of Augustus in Ankara' (historic temple in Ankara) — archaeological/historic class; country match
394,antiquities-in-ankara,Antiquities in Ankara,Turkey,Ankara (4 Folders) / North Central Turkey / Central Turkey / Turkey / Browse by Countries,,,,none,,no match
395,ramat-rachel,Ramat Rachel,Israel,Hill Country of Judah / Central / Israel / Browse by Countries,31.7399013938,35.216895907,wikidata,high,Q47466657,matched 'Ramat Rachel Archeological Park' (archaeological site in Israel) — archaeological/historic class; country match
397,saint-annes-church-10,Saint Anne's Church (10),Israel,5 Churches of Jerusalem (folder) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7813731,35.2364249,nominatim,low,,"matched 'Église Sainte-Anne de Jérusalem / כנסיית סנטה אנה, בורג' לקלק, הרובע המוסלמי, העיר העתיקה, ירושלים | القدس, נפת ירושלים,'"
398,pools-of-bethesda,Pools of Bethesda,Israel,Old City Antiquities (3 folders) / Jerusalem (65 folders!) / Central / Israel / Browse by Countries,31.7320351,35.2165498,nominatim,low,,"matched 'Solomon's Pools aqueduct, מעלה דרגה, חומת שמואל, ירושלים | القدس, נפת ירושלים, מחוז ירושלים, 9119201, ישראל'"
400,theater-400,Theater,Jordan,Umm Qeis/Gadara (4 folders) / North / Jordan / Browse by Countries,30.3248366,35.4468868,nominatim,low,,"matched 'The Theater, As-Siq, Petra Sub-District, لواء البتراء, معان, 71811, الأردن'"
401,gadara-general,Gadara  - General,Jordan,Umm Qeis/Gadara (4 folders) / North / Jordan / Browse by Countries,32.655277777778,35.678611111111,wikidata,high,Q56322109,"matched 'Gadara' (archaeological site in Jordan, former city of the ancient Decapolis) — archaeological/historic class; country match"
402,churches,Churches,Jordan,Umm Qeis/Gadara (4 folders) / North / Jordan / Browse by Countries,,,,none,,no match
403,roman-forum-east-arch-of-titus,Roman Forum East (Arch of Titus),Italy,Rome 13 Folders / Italy / Browse by Countries,41.890717,12.488585,wikidata,high,Q723887,matched 'Arch of Titus' (triumphal arch in Rome (constructed c. 81 AD)) — archaeological/historic class; country match
