news_ID,news_Title,news_Text,news_DateAdded,news_Active,news_Gallery,news_YouTubeId
39,Recent Image Additions,"<p>
	<a href=""http://holylandphotos.org/browse.asp?s=1,2,6,175,177&amp;img=ICDSQM24"" target=""_blank""><img alt="""" src=""/userfiles/images/ICDSQM24_400.jpg"" style=""width: 400px; height: 266px; border-width: 1px; border-style: solid; margin-left: 5px; margin-right: 5px; float: left;"" /></a>25 August - three new images of and from <a href=""go.asp?img=ICDSQM24"" target=""_blank"">Qumran Cave 11</a>.</p>
<p>
	24 August - 11 images of the beautiful Galilean Retreat Center on the Mount of Beatitudes overlooking the Sea of Galilee - <a href=""go.asp?s=546"" target=""_blank"">Domus Galilaeae</a>.</p>
<p>
	23 August - I have added 5 images of the excavations at Tiberias-including the <a href=""go.asp?img=INSGTBTB10"" target=""_blank"">Cardo</a>.</p>
<p>
	21 August - I have added 5 images of the excavated <a href=""go.asp?img=INSGTBTH03"" target=""_blank"">theater at Tiberias</a>.</p>
<p>
	20 August - I have added 5 additional images of the <a href=""go.asp?img=ICHESHTL15"">excavations at Shiloh</a>.</p>
<p>
	19 August - I have added 7 images of the not-too-well-known <a href=""go.asp?s=545"">southern gate of the city of Tiberias</a>.</p>
<p>
	18 August - I have added 11 images of the <a href=""go.asp?s=543"" target=""_blank"">Sheik&#39;s Tomb at Shiloh</a> and the beautiful mosaic floor of the nearby church.</p>
<p>
	14 August - I have added 4 images of the village of <a href=""go.asp?s=542"" target=""_blank"">Nain</a> (Luke 7:11-15).</p>
<p>
	11 August - This past week I have added 9 images of the site of <a href=""go.asp?s=540"" target=""_blank"">Shiloh</a>: place of the Tabernacle, Eli, and Samuel.</p>
<p>
	05 August - I have added 10 images of the <a href=""go.asp?s=541"" target=""_blank"">Basilica at Shiloh</a>: including images of the mosaics.</p>
<p>
	July - I have added 7 images of the Baptismal Site - <a href=""go.asp?s=537"" target=""_blank"">Qasr el-Yahud</a> - that is located near Jericho.</p>
<p>
	To view recent image additions <a href=""/whats_new.asp?d=w1"">Click Here</a>.</p>
",4/29/2009 3:47:00PM,False,,
42,Used Books for Sale,"Dr. Rasmussen has begun to post used books from his library that he is selling.&nbsp; The shipping (book rate) within the continental United States is included in the price.&nbsp; <span style=""font-weight: bold;"">He will be adding new books on even numbered days of the week</span>.&nbsp; <a target=""_blank"" href=""page.asp?page_ID=27""><span style=""font-weight: bold; font-style: italic; text-decoration: underline;"">To-date about 310 books have been posted</span></a>.<br /><br />For an author list <a target=""_blank"" href=""page.asp?page_ID=27""><span style=""font-weight: bold;"">Click Here</span></a>.",8/5/2009 5:18:00PM,False,,
46,The Best Visual Guide to the NT is on Sale  (60% off),"<p>
	<a href=""http://www.amazon.com/HarperCollins-Visual-Guide-New-Testament/dp/B002SB8O4I/ref=cm_cr_pr_product_top"" target=""_blank""><img alt="""" src=""/userfiles/images/Reed Small.jpg"" style=""width: 200px; height: 277px; margin-left: 20px; margin-right: 20px; float: left;"" /></a>The best visual guide to the whole NT in its Judean and Greco-Roman context is the full color, 176 page, <span style=""font-style: italic;"">The HarperCollins Visual Guide to the New Testament</span>, by Jonathan Reed.&nbsp; It is on sale for $9.98!! (normally $24.95) <a href=""http://www.amazon.com/exec/obidos/ASIN/B002SB8O4I/holylandphoto-20"" target=""_blank"">Click Here</a> to view for purchase.&nbsp; The expert commentary treats both the Judean setting of Jesus and the Early Church AS WELL AS the expansion of the church into Turkey and Greece!&nbsp; This is a steal!!</p>
",11/19/2009 11:39:00AM,False,,
47,This Week with HolyLandPhotos,"<br />Greetings!&nbsp; Just FYI, this week I have added images associated with <a href=""go.asp?s=455"" target=""_blank"">Palm Sunday</a>, Holy Week, and Easter.<br /><br />To view images of the church that commemorates Jesus' entry into Jerusalem, and his weeping over the city, <a target=""_blank"" href=""go.asp?s=452"">Click Here</a>.",3/22/2010 3:09:00PM,False,,
48,Wednesday's Used Book Sale — 40% Off,"<p>
	The following books are available for <span style=""font-weight: bold;"">40% off today</span>.&nbsp; Postage included (North American shipping only).&nbsp; To see if they are available contact <a href=""mailto:holylandphotos@comcast.net?subject=30%25%20Off%20Sale"">Carl Rasmussen</a>.&nbsp; To view a complete listing of used books <a href=""page.asp?page_ID=27"">Click Here</a>.&nbsp; Minimum price $5.00 (postage is included).</p>
<p>
	Ackroyd, Peter R.&nbsp; <strong><span style=""font-style: italic;"">The First Book of Samuel: The Cambridge Bible Commentary on the</span><span style=""font-style: italic;""> New English Bible</span></strong>.&nbsp; London: Cambridge University Press, 1971.&nbsp; [Very good condition, paperback]&nbsp; $5.00.</p>
<p>
	Adeyemo, Tokunboh, ed.&nbsp; <strong><em>Africa Bible Commentary: A One-Volume Commentary</em></strong>.&nbsp; Written by 70 African Scholars.&nbsp; Grand Rapids: Zondervan, 2006.&nbsp; [Like New, hardcover]&nbsp; $25.00.</p>
<p>
	Andersen, Francis I.&nbsp; <strong><em>The Sentence in Biblical Hebrew</em></strong>.&nbsp; The Hague: Mouton and Co. N.V. Publishers, 1974.&nbsp; [Used condition, hardcover, worn boards, clean text]&nbsp; $50.00.</p>
<p>
	Avigad, N.&nbsp; <strong><em>Archaeological Discoveries in the Jewish Quarter: Second Temple Period</em>.</strong> Jerusalem: The Israel Museum, 1976.&nbsp; [Really good condition, soft cover]&nbsp; $18.00.<br />
	<br />
	Avi-Yonah, Michael.&nbsp; <strong>The Holy Land: From the Persian to the Arab Conquests (536 B.C. to A.D. 640).</strong>&nbsp; Grand Rapids: Baker Book House, 1966.&nbsp; [Fair condition, hardcover, no cover jacket, minimal markings in text]&nbsp; $22.00.</p>
<p>
	Bahat, Dan.&nbsp; <strong>Carta&rsquo;s Historical Atlas of Jerusalem</strong>.&nbsp; Jerusalem: Carta, 1973.&nbsp; [Used condition, hardcover]&nbsp; $20.00.</p>
",8/17/2010 7:47:00AM,False,,
49,30% Off Sale,"<p>
	<a href=""page.asp?page_ID=40"">All Archaeology and Geography books are on special sale&mdash;30% off!</a>&nbsp; Minimum price per book $5.00.</p>
",8/18/2010 5:24:00PM,False,,
51,Christmas 2013,"<p>In preparation for Christmas the following links will take you to <a href=""http://holylandphotos.org/browse.asp?s=1,2,5,36,182"" target=""_blank"">Nazareth where the annunciation took place</a>; to <a href=""http://holylandphotos.org/browse.asp?s=1,2,6,15,104&amp;img=ICHJBT51"" target=""_blank"">Bethlehem</a> where Jesus was born; to an example of a <a href=""http://holylandphotos.org/browse.asp?s=1,2,5,24,126&amp;img=INJVMG56"" target=""_blank"">manger</a> (also, use Search Window); and to the <a href=""http://holylandphotos.org/browse.asp?s=1,2,6,15,38&amp;img=BLGHR01"" target=""_blank"">Herodium</a> where Herod the Great had a pleasure palace and where he was <a href=""http://holylandphotos.org/browse.asp?s=1,2,6,15,418"" target=""_blank"">buried</a>.</p>

<p>To the left, the Grotto of the Nativity in the <a href=""browse.asp?s=1,2,6,15,104&amp;thumbs=1"" target=""_blank"">Church of the Nativity in Bethlehem</a>.</p>

<p>To visit the original home of Saint Nicholas at Myra in Turkey(!), <a href=""go.asp?s=188"" target=""_blank"">click here</a>!</p>
",12/15/2010 6:04:00PM,False,"INJVMG56|Stone feeding Manger from Megiddo (Luke 2)
INLGNZa02|Basilica of the Annunciation in Nazareth (Luke 1:26–38)
INLGNZ30|Nazareth — Overview of the City
ICHJHR14|Herodium: Palace, Fortress, Burial site of Herod the Great — 3.5 mi southwest of Bethlehem (Matthew 2)
ICHJBT51|Bethlehem: Grotto of the Nativity (Matthew 2; Luke 2)
IFOP201301|Pergamum: You are invited to join our adult ""Study Tour"" to Turkey and Greece—May 2016 that visits ALL of the seven churches of Revelation plus the Island of Patmos!|page.asp?page_ID=50",
52,Saint Nicholas aka Santa Claus,"<p>To visit the original home of Saint Nicholas at Myra in Turkey(!), <a href=""go.asp?s=188"" target=""_blank"">click here</a>!</p>
",12/24/2010 3:55:00PM,False,"TWTQMYCH05|Altar and Chancel in Saint Nicholas Church Myra (Demre, Turkey)
TWTQMYCH12|Frescos in Saint Nicholas Church Myra (Demre, Turkey)
TWTQMYCH20|Relics of Saint Nicholas — Museum Antalya (Turkey)
TWTQMYTM03|Ancient Tombs at Myra (Demre, Turkey)
TWTQMYTH01|Theater at Myra (Demre,Turkey)",
53,Christmas Gift!,"<p>
	<a href=""http://www.amazon.com/exec/obidos/ASIN/0310276470/holylandphoto-20""><img alt="""" src=""/userfiles/images/Walker 02.jpg"" style=""width: 160px; height: 200px; float: left; margin-right: 20px; margin-left: 20px;"" /></a>I have spent over 16 years of my adult life in Israel and countries of the Eastern Mediterranean.&nbsp; Walker&#39;s <a href=""http://www.amazon.com/exec/obidos/ASIN/0310276470/holylandphoto-20"" target=""_blank""><em>In the Steps of Jesus: An Illustrated Guide to the Holy Land </em></a>is great preparation and review for those who want to visit and who have visited the Holy Land!&nbsp; And even for those who will never be able to visit the Land.&nbsp; It is a great description of the culture, history, archaeology, geography, and sites associated with the life of Jesus.&nbsp; It does not focus too much on the theology of Jesus, but more on the context of his life and ministry.&nbsp;</p>
<p>
	This book only costs $13.45!!</p>
",2/15/2011 5:42:00PM,False,,
54,Free Books Posted Saturday 18 November,"<p>
	<strong>The following books are available for free</strong>&mdash;<u>you pay shipping and handling of $5.00 per book</u>.<span style=""font-weight: bold;""> &nbsp;</span> Only shipping within the continental USA.&nbsp; <a href=""mailto:holylandphotos@comcast.net?subject=Free%20Books"">To purchase, contact Dr. Rasmussen via email</a>.</p>
<p>
	Vos, Howard F.&nbsp; <em>Archaeology in Bible Lands</em>.&nbsp; Chicago: Moody Press, 1977.&nbsp; [Good condition, hardcover, clean text].</p>
<p>
	Wright, G. E.&nbsp; <span style=""font-style: italic;"">Biblical Archaeology</span>.&nbsp; Philadelphia: The Westminster Press, 1962.&nbsp; [Very good condition, hardcover, clean text].</p>
<p>
	Wright, G. E., and Floyd V. Filson, eds.&nbsp; <em>Westminster Historical Maps of Bible Lands</em>. Philadelphia: Westminster Press, 1952.&nbsp; [Good condition, pamphlet, clean text].</p>
<p>
	Yamauchi, Edwin.&nbsp; <em>The Stones and Scriptures: An Introduction to Biblical Archaeology</em>. Grand Rapids: Baker Book House, 1972.&nbsp; [Very good condition, soft cover, clean text].</p>
<p>
	To view additional books for sale <a href=""http://holylandphotos.org/page.asp?page_ID=40"">Click Here</a>.</p>
",2/18/2011 11:48:00AM,False,,
56,Don't Leave for Turkey Without This Book!,"<p>
	<a href=""http://www.amazon.com/exec/obidos/ASIN6055607352/holylandphoto-20"" target=""_blank""><img alt="""" src=""/userfiles/images/WilsonBookSmall.jpg"" style=""width: 200px; height: 280px; float: left; margin-left: 25px; margin-right: 25px;"" /></a>Dr. Mark Wilson is THE premier researcher, teacher, and lecturer in Turkey today.&nbsp; He has shared much of his knowledge in his well-written book <a href=""http://www.amazon.com/exec/obidos/ASIN6055607352/holylandphoto-20"" target=""_blank""><em>Biblical Turkey &mdash; A Guide to the Jewish and Christian Sites of Asia Minor</em></a>.&nbsp; This 398-page book is filled with Wilson&#39;s descriptions and insights on numerous biblical and extra biblical sites in Turkey.</p>
<p>
	Not only are there descriptive comments on the sites, beautiful photos, diagrams, but also &quot;Side Trips&quot; to important extra&ndash;biblical sites as well as Wilson&#39;s &quot;In&ndash;Sites&quot; and &quot;Ancient Voices&quot; (relevant comments from ancient authors).</p>
<p>
	<a href=""http://www.amazon.com/exec/obidos/ASIN6055607352/holylandphoto-20"" target=""_blank"">Click Here</a> to examine.</p>
<p>
	He is also the editor of the modern/updated editions of:</p>
<p>
	Ramsay, William M. <em><a href=""http://www.amazon.com/exec/obidos/ASIN/0825436397/holylandphoto-20"" target=""_blank"">St. Paul &mdash; The Traveler and Roman Citizen</a>.</em> Edited by Mark W. Wilson Full&ndash;Color Updated &amp; Revised Edition. Grand Rapids, MI: Kregel, 2001.</p>
<p>
	Ramsay, William M. <em><a href=""http://www.amazon.com/exec/obidos/ASIN/1565630599/holylandphoto-20"" target=""_blank"">The Letters to the Seven Churches</a>.</em> Edited by Mark W. Wilson. Peabody, MA: Hendrickson, 1994.</p>
<p>
	Wilson, Mark. <a href=""http://www.amazon.com/exec/obidos/ASIN0825439396/holylandphoto-20"" target=""_blank""><em>Charts on The Book of Revelation</em></a>. Grand Rapids, MI: Kregel, 2007.</p>
<p>
	Wilson, Mark. <a href=""http://www.amazon.com/exec/obidos/ASIN0310278325/holylandphoto-20"" target=""_blank""><em>Revelation &mdash; Zondervan Illustrated Bible Backgrounds Commentary</em></a>. Grand Rapids, Mi: Zondervan, 2007.</p>
<p>
	If you are traveling to <strong><em><span style=""text-decoration: underline;"">Turkey AND Greece</span></em></strong><span style=""text-decoration: underline;""><u> </u>you may also want to consider</span>&nbsp;&nbsp; you may also want to consider Fant and Reddish&#39;s<a href=""http://www.amazon.com/exec/obidos/ASIN/0195139186/holylandphoto-20"" target=""_blank""> <em>A Guide to Biblical Sites in Greece and Turkey.</em></a></p>
",3/7/2011 5:52:00PM,False,,
57,Dr. Rasmussen's Blog,"<p>
	To check out Dr. Rasmussen&#39;s bi-weekly blog on topics related to archaelogy, geography, and history <a href=""http://holylandphotos.wordpress.com/"" target=""_blank"">Click Here</a>.</p>
<p>
	A new blog is posted every Tuesday and Friday.</p>
",3/14/2011 6:04:00PM,False,,
